q_dirs,traj,tr,delay,rep,paired_id,rmse_t3,rmse_honest,rmse_gap_t3_minus_honest
8,zigzag,0.25,12,1,q8_zigzag_tr0.25_d12_rep1,1.270839545267148,1.3980742085765703,-0.12723466330942235
8,zigzag,0.25,12,2,q8_zigzag_tr0.25_d12_rep2,1.1543273737650905,1.3406219621501243,-0.18629458838503377
8,zigzag,0.25,12,3,q8_zigzag_tr0.25_d12_rep3,1.252873297849623,1.282003843813032,-0.029130545963408805
8,zigzag,0.25,12,4,q8_zigzag_tr0.25_d12_rep4,1.1783297185801433,1.4209353755526861,-0.24260565697254277
8,zigzag,0.25,12,5,q8_zigzag_tr0.25_d12_rep5,1.1664827605389394,1.3380402909897673,-0.1715575304508279
8,zigzag,0.25,12,6,q8_zigzag_tr0.25_d12_rep6,1.2852672201260793,1.4192816824381616,-0.13401446231208225
8,zigzag,0.25,12,7,q8_zigzag_tr0.25_d12_rep7,1.188919311258495,1.3149606831416119,-0.12604137188311682
8,zigzag,0.25,34,0,q8_zigzag_tr0.25_d34_rep0,1.8104162415618048,1.8942593285177753,-0.08384308695597054
8,zigzag,0.25,34,1,q8_zigzag_tr0.25_d34_rep1,1.779108715948975,1.954523718287436,-0.17541500233846108
8,zigzag,0.25,34,2,q8_zigzag_tr0.25_d34_rep2,1.789380003108704,1.8960097148776018,-0.1066297117688979
8,zigzag,0.25,34,3,q8_zigzag_tr0.25_d34_rep3,1.7982002401771906,1.931786988772989,-0.13358674859579844
8,zigzag,0.25,34,4,q8_zigzag_tr0.25_d34_rep4,1.7678821180971185,1.9675021965061665,-0.19962007840904805
8,zigzag,0.25,34,5,q8_zigzag_tr0.25_d34_rep5,1.7988478597736832,1.9605771834031376,-0.16172932362945436
8,zigzag,0.25,34,6,q8_zigzag_tr0.25_d34_rep6,1.7709612960349965,1.8964386608720418,-0.1254773648370453
8,zigzag,0.25,34,7,q8_zigzag_tr0.25_d34_rep7,1.7431992042386466,1.8837977310530973,-0.14059852681445073
8,zigzag,0.35,12,0,q8_zigzag_tr0.35_d12_rep0,1.2289150871878254,1.4302046175274221,-0.20128953033959673
8,zigzag,0.35,12,1,q8_zigzag_tr0.35_d12_rep1,1.2261467295761619,1.2977095123447957,-0.07156278276863381
8,zigzag,0.35,12,2,q8_zigzag_tr0.35_d12_rep2,1.269457932810768,1.3855445358391139,-0.11608660302834584
8,zigzag,0.35,12,3,q8_zigzag_tr0.35_d12_rep3,1.1479773074818669,1.3605437518154684,-0.2125664443336015
8,zigzag,0.35,12,4,q8_zigzag_tr0.35_d12_rep4,1.2942041863434497,1.2684496077279879,0.02575457861546182
8,zigzag,0.35,12,5,q8_zigzag_tr0.35_d12_rep5,1.3425468761759327,1.3822994331940515,-0.03975255701811875
8,zigzag,0.35,12,6,q8_zigzag_tr0.35_d12_rep6,1.2277514550788657,1.4272122937250415,-0.1994608386461758
8,zigzag,0.35,12,7,q8_zigzag_tr0.35_d12_rep7,1.278253310515629,1.3355351952045371,-0.05728188468890805
8,zigzag,0.35,34,0,q8_zigzag_tr0.35_d34_rep0,1.5477970490676158,1.8945175096263758,-0.34672046055875994
8,zigzag,0.35,34,1,q8_zigzag_tr0.35_d34_rep1,1.602091361022056,1.8745769365342562,-0.2724855755122002
8,zigzag,0.35,34,2,q8_zigzag_tr0.35_d34_rep2,1.4997126708480522,1.8749305702850407,-0.3752178994369886
8,zigzag,0.35,34,3,q8_zigzag_tr0.35_d34_rep3,1.4591912140109857,1.9330689856112862,-0.4738777716003004
8,zigzag,0.35,34,4,q8_zigzag_tr0.35_d34_rep4,1.5103007760533573,1.8897860215291955,-0.3794852454758382
8,zigzag,0.35,34,5,q8_zigzag_tr0.35_d34_rep5,1.5458121840656607,1.8732851751410757,-0.32747299107541505
8,zigzag,0.35,34,6,q8_zigzag_tr0.35_d34_rep6,1.526906673273857,1.8871707390249979,-0.3602640657511409
8,zigzag,0.35,34,7,q8_zigzag_tr0.35_d34_rep7,1.412431810624145,1.87992387505746,-0.46749206443331515
8,lemniscate,0.25,12,0,q8_lemniscate_tr0.25_d12_rep0,0.3707323767994468,0.629569532366873,-0.25883715556742615
8,lemniscate,0.25,12,1,q8_lemniscate_tr0.25_d12_rep1,0.44427172543409166,0.5985223511426296,-0.15425062570853798
8,lemniscate,0.25,12,2,q8_lemniscate_tr0.25_d12_rep2,0.4410861919019094,0.5975987703122203,-0.1565125784103109
8,lemniscate,0.25,12,3,q8_lemniscate_tr0.25_d12_rep3,0.40254968041240086,0.6262062498928747,-0.2236565694804738
8,lemniscate,0.25,12,4,q8_lemniscate_tr0.25_d12_rep4,1.0572165568586829,0.598368661124122,0.45884789573456086
8,lemniscate,0.25,12,5,q8_lemniscate_tr0.25_d12_rep5,0.41034754546079444,0.5978691349981319,-0.18752158953733744
8,lemniscate,0.25,12,6,q8_lemniscate_tr0.25_d12_rep6,0.4243895485922897,0.6317957389303641,-0.2074061903380744
8,lemniscate,0.25,12,7,q8_lemniscate_tr0.25_d12_rep7,0.44777780662687056,0.6292791632073125,-0.18150135658044192
8,lemniscate,0.25,34,0,q8_lemniscate_tr0.25_d34_rep0,1.3237898963324206,1.5909013104949907,-0.2671114141625701
8,lemniscate,0.25,34,1,q8_lemniscate_tr0.25_d34_rep1,1.179373995427249,1.6437536702642603,-0.46437967483701126
