q_dirs,traj,tr,delay,rep,paired_id,vote_bin_switch_rate,vote_switch_chord2_mean,agg_cell_switch_rate,agg_cell_jump_chord2_mean,agg_boundary_proximity_mean,path_event_rate,endpoint_wrap_rate,branch_event_rate,vote_path_coincident_rate,positive_err2_increment_t3,positive_err2_increment_honest,counterfactual_event_cost_mean,positive_counterfactual_event_cost,rmse_t3,rmse_honest,rmse_gap_t3_minus_honest
4,square,0.25,12,3,q4_square_tr0.25_d12_rep3,0.07,0.14,0.07,0.14,0.020653613585150044,0.07,0.0,0.0,0.07,0.011015263402540035,0.04850227780857736,-0.00018163066328766254,0.0479416633919129,0.34461190195280733,0.9086137444187137,-0.5640018424659063
4,square,0.25,12,4,q4_square_tr0.25_d12_rep4,0.07,0.14,0.07,0.14,0.02030088725705602,0.07,0.0,0.0,0.07,0.010376099446413716,0.015209457955274706,-0.0021660851571048073,0.01317829416949006,0.35052659780503564,0.6157280324722869,-0.26520143466725127
4,square,0.25,12,5,q4_square_tr0.25_d12_rep5,0.0704,0.1408,0.07,0.14,0.020536966311146383,0.07,0.0,0.0,0.07,0.010848884358858855,0.048306923987399934,-0.004481003519058714,0.044186555461222056,0.332938928581246,0.8599076612659838,-0.5269687326847379
4,square,0.25,12,6,q4_square_tr0.25_d12_rep6,0.07,0.14,0.07,0.14,0.021640711514634762,0.07,0.0,0.0,0.07,0.011855164991409036,0.04572739842866348,-0.005721942894366629,0.04307694143536433,0.35317243151769706,0.8296357643065139,-0.4764633327888168
4,square,0.25,12,7,q4_square_tr0.25_d12_rep7,0.07,0.14,0.07,0.14,0.017661694863963656,0.07,0.0,0.0,0.07,0.01116416722053011,0.04895117705153746,0.0005587588826306851,0.04870350155865709,0.3690302443310787,0.9298346311726382,-0.5608043868415595
4,square,0.25,34,0,q4_square_tr0.25_d34_rep0,0.1616,0.3232,0.15,0.3,0.080417481969379,0.03,0.0,0.0,0.01,0.54504264635576,0.6020521817158748,-0.07024129979264139,0.6532080879156156,1.5374849515648576,1.7409903291224618,-0.20350537755760412
4,square,0.25,34,1,q4_square_tr0.25_d34_rep1,0.1592,0.3184,0.15,0.3,0.07517916187848041,0.03,0.0,0.0,0.01,0.5309390674732919,0.7509634659807128,-0.020550914009581533,0.9208127832809142,1.5195711228202697,1.777146602036617,-0.25757547921634716
4,square,0.25,34,2,q4_square_tr0.25_d34_rep2,0.175,0.35,0.15,0.3,0.11833591107072743,0.1,0.0,0.0,0.08,0.5514523376312248,0.6901018450246394,0.0031131189267210816,0.8370060043747646,1.5079318190942919,1.6992310178727241,-0.19129919877843227
4,square,0.25,34,3,q4_square_tr0.25_d34_rep3,0.163,0.3264,0.15,0.3,0.07935040003273591,0.03,0.0,0.0,0.01,0.5208942497143176,0.675919822455851,-0.0016790621102454838,0.9266748215783661,1.4901265691501833,1.7175110340627855,-0.22738446491260222
4,square,0.25,34,4,q4_square_tr0.25_d34_rep4,0.1588,0.3184,0.15,0.3,0.07747776718570641,0.03,0.0,0.0,0.01,0.5302362133985685,0.604119801815045,0.006877552004263762,0.6799393965898011,1.516780025701731,1.6225909323155143,-0.10581090661378334
4,square,0.25,34,5,q4_square_tr0.25_d34_rep5,0.158,0.316,0.15,0.3,0.07251331943342225,0.03,0.0,0.0,0.01,0.5479782325385733,0.6024986138239403,0.01351995298180934,0.8228394189236828,1.5254676118409296,1.6605049023504097,-0.1350372905094801
4,square,0.25,34,6,q4_square_tr0.25_d34_rep6,0.172,0.344,0.17,0.34,0.09286781896049744,0.08,0.0,0.0,0.05,0.5281629026161744,0.652263874865263,-0.0047595246939113696,0.8086834058061771,1.443946060447551,1.6520633064911778,-0.2081172460436269
4,square,0.25,34,7,q4_square_tr0.25_d34_rep7,0.1808,0.36200000000000004,0.17,0.34,0.10133470622622184,0.05,0.0,0.0,0.03,0.4890052776209618,0.6465856403832709,-0.0028738882584461636,0.84831397743756,1.4105593848112539,1.6800262787518008,-0.2694668939405469
4,square,0.35,12,0,q4_square_tr0.35_d12_rep0,0.07,0.14,0.07,0.14,0.04148366473782774,0.07,0.0,0.0,0.07,0.014080933084312906,0.0420788615935891,-0.0009818047760028557,0.0490173578464085,0.1886081848969642,0.887419408604643,-0.6988112237076788
4,square,0.35,12,1,q4_square_tr0.35_d12_rep1,0.07,0.14,0.07,0.14,0.042373264222024414,0.07,0.0,0.0,0.07,0.014409191052627912,0.04990941435735556,-0.010349635448362635,0.046560624865761714,0.18849579987410559,0.8668433525778104,-0.6783475527037048
