traj,tr,delay,mc,rmse_honest,rmse_t3,gap_h_minus_t3,osc_honest,osc_t3,osc_change_pct,edot_honest,edot_t3,edot_change_pct,tail_q95_honest,tail_rate_honest,tail_rate_t3,tail_delta,tail_mse_share_honest,tail_mse_share_t3,energy_relief,abs_relief,vel_oppose,delta_perp_abs,delta_norm,raw_cos_vel,mechanism_class
square,0.2,56,50,2.5306858546376594,2.2525397892974106,0.27814606534024877,2.3394923139541377,2.139084383316961,-8.566300023374213,0.07119299250158513,0.0637846732984241,-10.405966855364337,3.4791865653965166,0.05,0.019216931216931216,-0.030783068783068787,2.4978896466049623,3.2946347005771477,0.9838282372719275,0.9612087624432805,-0.4533139965819646,0.05667178996602737,0.06600334996470839,-0.9940045174078029,benefit
square,0.2,68,50,3.198498415626716,2.898764487133741,0.2997339284929752,2.9776685220262635,2.684276306334243,-9.853085174580565,0.07742155297108445,0.07638072839305973,-1.3443602434583126,4.732740135668078,0.05,0.011941798941798943,-0.03805820105820106,2.7898605934032545,3.6784674715119254,0.9717905958073555,0.9310011152732162,-0.3471354331656212,0.04845146489847032,0.060018723062857146,-0.9953136875965939,benefit
square,0.3,0,50,0.2688194661809051,0.2615069671409857,0.0073124990399193734,0.15468166283070853,0.21018692379327697,35.88354297881927,0.012016154479590938,0.013839734851348953,15.176072966634614,0.4711386728857938,0.05,0.08895238095238095,0.03895238095238095,3.567945528654522,4.327473912766169,-0.3619334215451914,-0.3579000184767721,-0.21794385627277738,0.06189164831202572,0.07134864717650441,-0.99049315697362,benefit
square,0.3,8,50,0.5128746489802132,0.2557525086271289,0.2571221403530843,0.48223302109299304,0.18046216548897082,-62.57780832167514,0.022002994729738722,0.01416487182249032,-35.62298224931333,0.9874899690952479,0.05,0.0,-0.05,5.180237299472057,0.0,0.9317953330260881,0.7918714128995954,-0.11815536205212368,0.04540858864552742,0.048888925235388216,-0.9951551641592156,benefit
square,0.3,18,50,0.8428463413788854,0.5910039819236695,0.2518423594552158,0.7920552088654945,0.5852309814918325,-26.112349878949342,0.03714934995654833,0.03161634967195667,-14.893935670245599,1.6292534175588789,0.05,0.0025343915343915345,-0.04746560846560847,4.973161816443876,8.548583377868932,0.8494299702001971,0.6357121044567101,-0.11229237383482564,0.11013084962283749,0.12426389956236918,-0.9835789625944819,benefit
square,0.3,26,50,1.1695388766793322,0.9485977875585658,0.22094108912076638,1.1518690283304907,0.9128530897374653,-20.75027044865036,0.05010080844411673,0.044599333677953636,-10.98081036394797,1.7909917697601132,0.05,0.04724338624338624,-0.0027566137566137627,2.8472269606366085,4.723749093585687,0.8025079894660395,0.6963102586624256,-0.2686123750318193,0.15633653219055868,0.18562206670817616,-0.9758908723610551,benefit
square,0.3,34,50,1.4651650460291241,1.2794582028579493,0.1857068431711748,1.3954555746781554,1.2550524708073885,-10.061452791361598,0.049063573412964405,0.05249183457395036,6.98738579854481,2.2693515084504403,0.05,0.010693121693121694,-0.03930687830687831,3.0910904402547605,3.6320256537240434,0.6490309266453227,0.5439734021806004,-0.1735306495169967,0.16905749889532515,0.21732980742828925,-0.9685011443660885,benefit
square,0.3,44,50,1.8440587321497934,1.626280854521243,0.2177778776285504,1.7640820384427314,1.5542025075081367,-11.897379280600228,0.05418871914067367,0.052487653424097024,-3.1391509958544996,2.734838136304008,0.05,0.02617989417989418,-0.02382010582010582,2.5749353186647412,3.4061963253661736,0.6655003753971179,0.4724869728488658,-0.19375798268850505,0.1395429485451856,0.17866810701419503,-0.9736806132317559,benefit
square,0.3,56,50,2.518916631965256,2.0725753930715913,0.4463412388936647,2.3255445872457043,1.9815769794464024,-14.790841237171785,0.07099357680472132,0.05896814594930948,-16.938758964519053,3.4559655321711418,0.05,0.014047619047619048,-0.03595238095238096,2.502149282960019,3.587244163964782,0.6142111552880802,0.4955769761235188,-0.3157739765807617,0.13781315610329117,0.16903929970739207,-0.9753797178307115,benefit
square,0.3,68,50,3.180279454418253,2.7489658479994272,0.43131360641882566,2.9581581043494727,2.556726419264685,-13.570325551376525,0.07770298695642022,0.07332398001474998,-5.635570926082751,4.745379309303255,0.05,0.011968253968253968,-0.038031746031746035,2.8397376354563684,3.900594327448592,0.5603300814045966,0.49066009065109834,-0.2757009475525309,0.1210363274678724,0.15169217397914647,-0.9780623667172837,benefit
square,0.4,0,50,0.2687781854176363,0.289346468449491,-0.020568283031854706,0.161384297645732,0.2803414486237296,73.71048652973238,0.011996194332229832,0.03851432827651183,221.05455453339843,0.48667591986503705,0.05,0.09802645502645503,0.04802645502645503,3.808805612862617,4.153709263395573,0.5114317718738237,0.37229509206621947,-0.6916291668011071,0.5214404178043496,0.57502213403956,-0.9953762458687863,harm_cost_dominance
square,0.4,8,50,0.5083178559380785,0.3102791940320106,0.19803866190606795,0.4807851028315113,0.2683031419135418,-44.19478882896893,0.021839536215723907,0.03538160013294978,62.007103918515746,0.9813092111034907,0.05,0.000619047619047619,-0.049380952380952386,5.243001507190479,10.9066875084377,0.4705268374297895,0.3164926106295092,-0.6811821157262539,0.49409964893090724,0.5323598453230688,-0.9949580949947534,benefit
square,0.4,18,50,0.8440489093864306,0.4653587842346711,0.37869012515175954,0.7960092953703086,0.45647483337117856,-42.654585062445776,0.03736422292893099,0.03283340406562288,-12.126088830496332,1.642988617008018,0.05,0.0006084656084656085,-0.049391534391534396,4.953446443416969,13.672082204199668,0.6007336044769199,0.41151267185077783,-0.49584789145843133,0.3163937335033898,0.3532886804049935,-0.9925907645482371,benefit
square,0.4,26,50,1.1725174986808293,0.7159890008852323,0.456528497795597,1.154343743578475,0.703937777959768,-39.01835723751182,0.05046172103384005,0.042942613618322384,-14.900616271740482,1.786860998532215,0.05,0.011767195767195766,-0.038232804232804236,2.8134099915777497,7.679059742281663,0.3685797857335058,0.2019414377567962,-0.5304903344062109,0.4532269482840835,0.5369901883323746,-0.9897588846850138,benefit
square,0.4,34,50,1.4647548674988327,0.8921220116736801,0.5726328558251526,1.395991906526269,0.8717864607622022,-37.55075106904475,0.049066327123193886,0.04793767710860906,-2.3002537192727996,2.270769717124857,0.05,0.006756613756613757,-0.04324338624338624,3.090773603726064,7.8259406881210785,0.2858760363519326,0.1604812794299273,-0.4805994679526101,0.4851403118384002,0.6064430318481788,-0.9871361675801424,benefit
square,0.4,44,50,1.8366662008633368,1.3174187008729266,0.5192474999904102,1.7584252835024352,1.2657642047790612,-28.017174419933866,0.05410978373894339,0.049555546402626084,-8.416661501005784,2.722825554095263,0.05,0.01814814814814815,-0.03185185185185185,2.5774737780284203,5.067917794147651,0.22984962066387138,0.14149114193062753,-0.19612084963557308,0.4109847870411381,0.5751539302935627,-0.9896219910959506,benefit
square,0.4,56,50,2.5004936145921697,1.616166587484178,0.8843270271079917,2.308495746207128,1.5466835693114849,-33.0003716986256,0.07055333551316913,0.05009820657250834,-28.992433584593336,3.440108890129263,0.05,0.003703703703703704,-0.0462962962962963,2.5161831599780355,5.441580401052677,0.18205983734624318,0.11142889013557554,-0.2660497606455953,0.42408228688140026,0.5802226529126484,-0.991489497020618,benefit
square,0.4,68,50,3.172198627539196,2.1017101714447435,1.0704884560944525,2.94941355765092,2.0125565331918964,-31.76417976476896,0.07752430405358872,0.05705953154048908,-26.397879687754916,4.751976677041263,0.05,0.002767195767195767,-0.04723280423280424,2.861095601853804,5.687850407444252,0.08966634901120436,0.026885101515831508,-0.3488265412977357,0.4431171602457515,0.5886905367788199,-0.9908272824989376,benefit
lemniscate,0.2,0,50,0.21522625475269042,0.30708547747390486,-0.09185922272121444,0.21409568653160904,0.3059179349442821,42.8884158759955,0.027084002739635057,0.039989231974756304,47.64889945812584,0.40866044886955377,0.05,0.2098042328042328,0.15980423280423278,4.707802824922086,2.5971470974482194,0.01760310865564172,-0.016074942943773183,-0.3829486826807673,0.10750112120254247,0.11422286942265515,-0.9908793065180467,harm_cost_dominance
